model,image_number,image_filename,ssim,psnr
GPT-Mini,9,image_009.png,0.18853239887951703,9.22394579746815
GPT-Mini,10,image_010.png,0.1920527024947745,9.29902989688151
GPT-Mini,11,image_011.png,0.19703657155023604,9.364180131685968
GPT-Mini,12,image_012.png,0.1949946071902004,9.256386588583656
GPT-Mini,13,image_013.png,0.20025538729107753,9.26906540924547
GPT-Mini,14,image_014.png,0.19555030756765948,9.210539400835115
GPT-Mini,15,image_015.png,0.1865368973461125,9.046834565691528
GPT-Mini,16,image_016.png,0.1862823369350997,9.057611370726788
GPT-Mini,17,image_017.png,0.1826243369365371,8.915587403387145
GPT-Mini,18,image_018.png,0.17012511972562203,8.79557714594361
GPT-Mini,19,image_019.png,0.15789764939178058,8.591769309091884
GPT-Mini,20,image_020.png,0.1557488015451096,8.532576106906976
GPT-Mini,21,image_021.png,0.15190805630301757,8.5265256451213
GPT-Mini,22,image_022.png,0.13970269961537457,8.423936027408752
GPT-Mini,23,image_023.png,0.13795204455132917,8.345478908752463
GPT-Mini,24,image_024.png,0.13161000131357323,8.29970862375041
GPT-Mini,25,image_025.png,0.12122220396136302,8.192933564713412
GPT-Mini,26,image_026.png,0.11713788547122111,8.139927579822254
GPT-Mini,27,image_027.png,0.109215069731843,8.058253924890785
GPT-Mini,28,image_028.png,0.10699080464489436,8.011000019611615
GPT-Mini,29,image_029.png,0.10596261557949649,7.996627726245941
GPT-Mini,30,image_030.png,0.1010056444278583,7.989320996587197
GPT-Mini,31,image_031.png,0.09918960929627141,7.978685557721276
GPT-Mini,32,image_032.png,0.10501399767692485,7.990550292547347
GPT-Mini,33,image_033.png,0.09985588595414202,7.949623122460179
GPT-Mini,34,image_034.png,0.10340747818767397,7.916786439205468
GPT-Mini,35,image_035.png,0.10881874217981044,7.923409591493096
GPT-Mini,36,image_036.png,0.10323226416510929,7.874420791730914
GPT-Mini,37,image_037.png,0.10020274899714147,7.853523354444544
GPT-Mini,38,image_038.png,0.10314957489941351,7.824643849618487
GPT-Mini,39,image_039.png,0.1062203257338088,7.793088003682419
GPT-Mini,40,image_040.png,0.10497853098825817,7.695867207377206
GPT-Mini,41,image_041.png,0.10520866182695923,7.602455425852051
GPT-Mini,42,image_042.png,0.10350653903665556,7.566399943689931
GPT-Mini,43,image_043.png,0.11022798056925688,7.527391580240677
GPT-Mini,44,image_044.png,0.1084959738502893,7.578683532493518
GPT-Mini,45,image_045.png,0.10575064265822555,7.570360572829373
GPT-Mini,46,image_046.png,0.11057812422962207,7.555120034778042
GPT-Mini,47,image_047.png,0.11749875994660565,7.542189373959874
GPT-Mini,48,image_048.png,0.11509040897494295,7.583424569262638
GPT-Mini,49,image_049.png,0.12322243352041803,7.503326265315132
GPT-Mini,50,image_050.png,0.12763177065029008,7.460987802081368
GPT-Mini,51,image_051.png,0.13013152011628795,7.459100702047257
GPT-Mini,52,image_052.png,0.13253271907631928,7.451917370337803
GPT-Mini,53,image_053.png,0.13656724881673762,7.403801046189587
GPT-Mini,54,image_054.png,0.13838974061005177,7.347438284888847
GPT-Mini,55,image_055.png,0.13731333693558276,7.362212273346303
GPT-Mini,56,image_056.png,0.1361083204918451,7.346723032441302
GPT-Mini,57,image_057.png,0.1374180700137303,7.336332229351333
GPT-Mini,58,image_058.png,0.13945127220952525,7.376143323985693
GPT-Mini,59,image_059.png,0.1380577389140981,7.432412357316598
GPT-Mini,60,image_060.png,0.14090518139834202,7.384883893222263
GPT-Mini,61,image_061.png,0.1410168170165604,7.3620411766913465
GPT-Mini,62,image_062.png,0.14335900847753472,7.346582537029693
GPT-Mini,63,image_063.png,0.1380038873589598,7.310774714012198
GPT-Mini,64,image_064.png,0.12957953594387497,7.288310998556801
GPT-Mini,65,image_065.png,0.12726418451528346,7.29070635897065
GPT-Mini,66,image_066.png,0.12260390136356887,7.324843848266837
GPT-Mini,67,image_067.png,0.11970205549517302,7.33307872102872
GPT-Mini,68,image_068.png,0.11500578495409278,7.4129666574589335
GPT-Mini,69,image_069.png,0.11604448239707164,7.364779269943394
GPT-Mini,70,image_070.png,0.11451122593726086,7.349438338655881
GPT-Mini,71,image_071.png,0.1152667446740951,7.351800732649569
GPT-Mini,72,image_072.png,0.11232108363762904,7.371421156328242
GPT-Mini,73,image_073.png,0.10841125379699032,7.340508622275149
GPT-Mini,74,image_074.png,0.11135467232202412,7.298509235535788
GPT-Mini,75,image_075.png,0.11116450612163267,7.28861261570956
GPT-Mini,76,image_076.png,0.10979143443067546,7.344500302989551
GPT-Mini,77,image_077.png,0.11203937388251556,7.320629249522224
GPT-Mini,78,image_078.png,0.11098561385394284,7.364739731930822
GPT-Mini,79,image_079.png,0.10800805847483964,7.411811210207976
GPT-Mini,80,image_080.png,0.10361922182171766,7.489875197418141
GPT-Mini,81,image_081.png,0.10499373786173166,7.475820912391082
GPT-Mini,82,image_082.png,0.10766780517547067,7.485248306742761
GPT-Mini,83,image_083.png,0.10901333014267163,7.455606995832696
GPT-Mini,84,image_084.png,0.10910176400426803,7.43135058247432
GPT-Mini,85,image_085.png,0.1096445886790169,7.380852212661352
GPT-Mini,86,image_086.png,0.10665863014607542,7.389084124452455
GPT-Mini,87,image_087.png,0.10553675218060846,7.3721718337400235
GPT-Mini,88,image_088.png,0.10688830457468086,7.362887734336305
GPT-Mini,89,image_089.png,0.10469963496380351,7.404357160375539
GPT-Mini,90,image_090.png,0.1039443567181737,7.364090047703397
GPT-Mini,91,image_091.png,0.10581797173935867,7.361048546816438
GPT-Mini,92,image_092.png,0.10789314879972649,7.351049635698393
GPT-Mini,93,image_093.png,0.11019460700140467,7.352841914843592
GPT-Mini,94,image_094.png,0.11533575119702176,7.368745852531937
GPT-Mini,95,image_095.png,0.11599140956034498,7.384580767721233
GPT-Mini,96,image_096.png,0.11598470649224644,7.352437265547564
GPT-Mini,97,image_097.png,0.1177534072168226,7.33585476114431
GPT-Mini,98,image_098.png,0.1196490294861566,7.334733703173736
GPT-Mini,99,image_099.png,0.117509165712797,7.31944211388077
GPT-Mini,100,image_100.png,0.1163599123519514,7.293435062346333
Nano-Banana-Pro,1,image_001.png,0.8583426555345322,29.700227407556046
Nano-Banana-Pro,2,image_002.png,0.8303055580442653,27.79954587508123
Nano-Banana-Pro,3,image_003.png,0.8001876429481478,26.106070404415327
Nano-Banana-Pro,4,image_004.png,0.7670672407358976,24.306386495300654
Nano-Banana-Pro,5,image_005.png,0.7356854360788951,22.90207799768726
Nano-Banana-Pro,6,image_006.png,0.7061080396310849,21.86184764509992
Nano-Banana-Pro,7,image_007.png,0.6768169040345339,20.851640895251535
Nano-Banana-Pro,8,image_008.png,0.6499396820359802,20.001316357748266
Nano-Banana-Pro,9,image_009.png,0.627957760272707,19.33085010660905
Nano-Banana-Pro,10,image_010.png,0.6009157100860365,18.827512047470908
Nano-Banana-Pro,11,image_011.png,0.5842159013229885,18.392058605959246
Nano-Banana-Pro,12,image_012.png,0.5693236001731334,18.408197580865316
Nano-Banana-Pro,13,image_013.png,0.5538770271873068,18.137632700787055
Nano-Banana-Pro,14,image_014.png,0.5429092387389121,17.980056421631918
Nano-Banana-Pro,15,image_015.png,0.5242120596927603,17.80025281964255
Nano-Banana-Pro,16,image_016.png,0.5128946256146094,17.58668631446524
Nano-Banana-Pro,17,image_017.png,0.5035054330684134,17.38813424069607
Nano-Banana-Pro,18,image_018.png,0.49273658389614455,17.084954390918274
Nano-Banana-Pro,19,image_019.png,0.47305097490739206,16.6220446806417
Nano-Banana-Pro,20,image_020.png,0.4364968298108528,14.823168985727094
Nano-Banana-Pro,21,image_021.png,0.43136338975363003,14.826646886224243
Nano-Banana-Pro,22,image_022.png,0.4173964259405358,14.717296520315603
Nano-Banana-Pro,23,image_023.png,0.3937493636706495,14.236199250770909
Nano-Banana-Pro,24,image_024.png,0.38314440845597514,14.392973764066209
Nano-Banana-Pro,25,image_025.png,0.33993822460865997,13.5773644921684
Nano-Banana-Pro,26,image_026.png,0.335611240084543,13.627238562077357
Nano-Banana-Pro,27,image_027.png,0.3344231600059564,13.743239329354397
Nano-Banana-Pro,28,image_028.png,0.33123092496816026,13.785655230620934
Nano-Banana-Pro,29,image_029.png,0.2989878818465315,13.033971679840848
Nano-Banana-Pro,30,image_030.png,0.2852128703870734,13.150197669327149
Nano-Banana-Pro,31,image_031.png,0.2757366894420846,12.92462868926885
Nano-Banana-Pro,32,image_032.png,0.27789642565107064,13.009044686551864
Nano-Banana-Pro,33,image_033.png,0.27178213549278774,13.060289463422123
Nano-Banana-Pro,34,image_034.png,0.2628869424601492,12.99531738944533
Nano-Banana-Pro,35,image_035.png,0.2633098028586511,13.052405159979356
Nano-Banana-Pro,36,image_036.png,0.25157712240259167,12.873743245480158
